Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Anaxyrus boreas (Western Toad),CARBARYL,,"Arboreal sprint velocity, m/s",,B,Adult,Savannah River Ecology Laboratory,20,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,,Body condition index,,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - whole animal,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,,"Terrestrial sprint velocity, m/s",,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,,"Arboreal sprint velocity, m/s",,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Cricket consumption,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Chromaturia/vent area staining,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Liver weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Kidney weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Brain/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Testes/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
